,ts_3,ts_4,len_captured,len_original,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
19,1742907595.0000013884,105635.98746548272001,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,284978188.36929735006,2491537313.8219005596,5.0000000154193654637,1459.9992699656791579
20,1742907595.0000013884,105635.98746548272001,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,284978188.36929735006,2491537313.8219005596,5.0000000154193654637,1459.9992699656791579
21,1742907619.9999997646,881110.9836453430096,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,284978188.36929735006,2491537313.8219005596,5.0000000154193654637,1459.9992699656791579
22,1742907854.0000111108,219174.00793700986043,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,383687701.12153240934,274460510.29114340805,5.0000000154193654637,1459.9992699656791579
23,1742907868.0000002835,416453.0018470223588,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,383687701.12153240934,274460510.29114340805,5.0000000154193654637,1459.9992699656791579
24,1742908247.0000022114,226454.00820345916114,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2241003101.0002363473,1621535155.4000661385,5.0000000154193654637,1459.9992699656791579
25,1742908247.0000022114,447098.00082179061647,59.999997767815269924,59.999997767815269924,20.000000970508224125,63.999999994651363164,2241003101.0002363473,1621535155.4000661385,5.0000000154193654637,1459.9992699656791579
26,1742907625.000000169,209134.00756954406657,616.9999786715032282,616.9999786715032282,582.99998468528368323,63.999999994651363164,691001718.7852939549,2926009929.985210219,7.9999999547234296768,1174.0007651146631762
27,1742907625.000000169,209134.00756954406657,616.9999786715032282,616.9999786715032282,582.99998468528368323,63.999999994651363164,691001718.7852939549,2926009929.985210219,7.9999999547234296768,1174.0007651146631762
28,1742907625.000000169,209134.00756954406657,616.9999786715032282,616.9999786715032282,582.99998468528368323,63.999999994651363164,691001718.7852939549,2926009929.985210219,7.9999999547234296768,1174.0007651146631762
29,1742907577.9999987005,516258.00013279264684,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,300826937.13362191804,53.21485363633837551,9.999999982499977673,5839.999753249341776
30,1742907577.9999987005,516258.00013279264684,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,300826937.13362191804,53.21485363633837551,9.999999982499977673,5839.999753249341776
31,1742907583.9999994775,516038.99948072394238,74.000000209227227196,74.000000209227227196,40.00000022776167629,63.999999994651363164,300826937.13362191804,53.21485363633837551,9.999999982499977673,5839.999753249341776
32,1742907644.9999995993,662339.00483533008196,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2636989696.876404404,53.21485363633837551,7.9999999547234296768,65535.00109117498165
33,1742907644.9999995993,662339.00483533008196,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2636989696.876404404,53.21485363633837551,7.9999999547234296768,65535.00109117498165
34,1742907656.0000000516,806157.9882013201578,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,4226581657.6305595424,53.21485363633837551,7.9999999547234296768,65535.00109117498165
35,1742907725.999998422,952164.00470875577685,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779338914.0996915665,53.21485363633837551,7.9999999547234296768,65535.00109117498165
36,1742907727.0000009823,957724.98387321603707,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779338914.0996915665,53.21485363633837551,7.9999999547234296768,65535.00109117498165
37,1742907728.9999944349,971362.01314004519065,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779338914.0996915665,53.21485363633837551,7.9999999547234296768,65535.00109117498165
38,1742907733.0000046765,979738.0031417560423,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779338914.0996915665,53.21485363633837551,7.9999999547234296768,65535.00109117498165
39,1742907737.0000032499,80295.01616444779643,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779339509.151129633,2786365048.9269395575,7.9999999547234296768,254.99919436072813461
40,1742907742.9999952757,79863.00240883352603,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3779339509.151129633,2786365048.9269395575,7.9999999547234296768,254.99919436072813461
41,1742907803.9999997731,5338.9979637664366123,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,2041062064.1626378451,53.21485363633837551,7.9999999547234296768,65535.00109117498165
42,1742907872.000010525,51817.00739350872456,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1353720398.0901919038,53.21485363633837551,7.9999999547234296768,65535.00109117498165
43,1742907931.0000099016,766953.0060880081122,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1128608943.1424094638,53.21485363633837551,7.9999999547234296768,65535.00109117498165
44,1742908001.99999333,552724.999105962723,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1327618243.6151124932,53.21485363633837551,7.9999999547234296768,65535.00109117498165
45,1742908062.9999978273,323175.00787914545054,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3329543846.1880965508,53.21485363633837551,7.9999999547234296768,65535.00109117498165
46,1742908126.0000074455,199001.00591056792547,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,974831585.157179727,53.21485363633837551,7.9999999547234296768,65535.00109117498165
47,1742908186.9999886063,5980.990258624567616,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,377337609.7002049972,53.21485363633837551,7.9999999547234296768,65535.00109117498165
48,1742908248.9999839958,849109.9863384202838,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1093063619.870932605,53.21485363633837551,7.9999999547234296768,65535.00109117498165
49,1742908308.999997601,736186.99379837708324,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,3726165563.882641334,53.21485363633837551,7.9999999547234296768,65535.00109117498165
50,1742907644.9999995993,662473.0022640214447,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1390926212.3995935288,2636989711.7235307458,7.9999999547234296768,5839.999753249341776
51,1742907644.9999995993,662473.0022640214447,66.00000046278192313,66.00000046278192313,32.000001680632990594,63.999999994651363164,1390926212.3995935288,2636989711.7235307458,7.9999999547234296768,5839.999753249341776
